,university,gpa_avg,loan_ever,enrollment_und,edm_avg,graduation rate,sat_avg,accept_ratio,tuition,pub_pri,Money_used
56,University of Florida,4.0,0.656118825,34554,1508525.0,0.67,1272,0.46,6381,1,2
114,Colby College,3.9,0.809688581,1879,728308.0,0.84,1363,0.19,53120,0,2
139,Villanova University,3.86,0.964966512,6999,552447.5,0.86,1326,0.44,51434,0,2
194,Colorado State University,3.6,0.8766531359999999,25177,283851.5,0.42,1145,0.85,11632,1,2
65,University of Delaware,3.7,0.933625337,18374,1301581.5,0.71,1198,0.65,12830,1,1
142,University of California--San Diego,4.0,0.754217901,28127,542225.5,0.59,1344,0.36,16183,1,2
196,Ithaca College,3.59,0.9645799009999999,6221,277671.0,0.66,1265,0.7,42884,0,1
136,University of Mississippi,3.6,0.861093144,19213,604633.0,0.37,1118,0.78,8290,1,1
31,University of Wisconsin--Madison,3.8,0.8540899040000001,31710,2442106.0,0.57,1300,0.53,10533,1,1
12,"University of California, Berkeley",3.9,0.67008135,29311,8169086.0,0.76,1397,0.16,14098,1,1
35,University of Richmond,3.83,0.8824911870000001,3036,2280678.0,0.84,1337,0.32,50910,0,0
28,University of Washington,3.75,0.740981364,30933,3022119.5,0.65,1223,0.45,10974,1,0
42,Indiana University--Bloomington,3.7,0.862080425,39184,1980339.5,0.6,1199,0.79,10533,1,0
229,Rider University,3.3,0.9518384259999999,4060,57288.5,0.58,1014,0.69,41310,0,2
115,Claremont McKenna College,4.0,0.815315315,1347,721488.5,0.86,1408,0.09,52825,0,2
155,Worcester Polytechnic Institute,3.8,0.986745214,4432,451093.5,0.8,1380,0.48,48628,0,2
51,Boston University,3.6,0.942863917,17944,1649324.0,0.81,1303,0.29,52082,0,2
132,Furman University,3.64,0.919175911,2797,620564.0,0.78,1310,0.68,48348,0,0
183,Franklin and Marshall College,3.81,0.944816054,2255,320093.0,0.83,1375,0.36,54380,0,2
76,University of Tennessee,3.9,0.818227467,22139,1103279.0,0.43,1214,0.77,12970,1,0
41,University of Rochester,3.8,0.948364888,6386,1988886.0,0.74,1410,0.38,52020,0,2
97,Louisiana State University--Baton Rouge,3.4,0.906122449,26118,816833.0,0.42,1210,0.76,11374,1,0
140,Marquette University,3.57,0.911838791,8238,550832.0,0.6,1219,0.74,39900,0,2
78,Berea College,3.5,0.162031439,1665,1076078.0,0.48,1117,0.33,25200,0,0
135,University of La Verne,3.5,0.844964029,2809,605762.5,0.48,1034,0.48,41450,0,0
26,Johns Hopkins University,3.9,0.8990731209999999,6117,3396949.0,0.88,1453,0.12,52170,0,2
213,Assumption College,3.5,0.975378788,2407,97500.5,0.72,1180,0.78,36260,0,2
172,University of Connecticut,3.67,0.8747632879999999,19324,380160.0,0.7,1233,0.49,14880,1,2
158,University of St. Thomas,3.6,0.952882483,6111,442846.5,0.62,1202,0.83,41133,0,2
0,Harvard University,4.0,0.463391137,6710,35495355.0,0.86,1497,0.05,48949,0,2
2,Yale University,3.87,0.477272727,5472,25490350.0,0.86,1498,0.06,51400,0,2
77,University of Colorado--Boulder,3.7,0.871927352,27846,1076480.5,0.47,1212,0.77,11531,1,1
46,Swarthmore College,3.89,0.569230769,1543,1796380.5,0.88,1431,0.13,50822,0,2
100,Pepperdine University,3.59,0.92257361,3542,793247.5,0.76,1226,0.37,51992,0,2
111,Rochester Institute of Technology,3.6,0.9416683259999999,12410,751806.5,0.29,1251,0.55,40068,0,2
138,American University,3.7,0.948698316,7901,588627.5,0.76,1252,0.26,46615,0,2
165,University of South Florida,3.9,0.732174385,31461,406369.5,0.44,1167,0.47,6410,1,2
90,Brandeis University,3.9,0.943052392,3608,890932.5,0.83,1360,0.33,53582,0,2
85,North Carolina State University,3.7,0.8625277159999999,23847,991289.5,0.48,1264,0.46,9058,1,2
161,Virginia Military Institute,3.6,0.952554745,1713,433440.5,0.64,1139,0.51,18214,1,0
152,Kansas State University,3.5,0.893984608,19472,482276.5,0.31,1160,0.94,9874,1,2
98,College of William and Mary,4.0,0.8402718779999999,6276,807457.5,0.85,1353,0.37,20287,1,2
36,Michigan State University,3.7,0.8928537259999999,39090,2249782.0,0.52,1159,0.66,14460,1,0
182,Rhodes College,3.9,0.92519685,1999,329070.5,0.77,1306,0.54,46504,0,2
61,Washington and Lee University,3.87,0.820143885,1830,1471879.5,0.88,1395,0.24,51148,0,2
22,Pennsylvania State University-University Park,3.6,0.914684449,41359,3619021.0,0.68,1094,0.56,18436,1,0
211,CUNY--Hunter College,3.3,0.225795811,16723,105700.0,0.24,1165,0.38,6780,1,0
184,Utah State University,3.46,0.669511902,24838,319987.5,0.23,1084,0.9,7174,1,2
33,Purdue University--West Lafayette,3.7,0.796935395,30043,2326221.5,0.49,1231,0.56,10002,1,0
11,University of Notre Dame,3.89,0.852300242,8530,8470517.5,0.9,1455,0.19,51505,0,2
226,Lebanon Valley College,3.7,0.965811966,1712,61011.0,0.72,1160,0.76,42180,0,2
180,The New School,3.3,0.909277294,7014,334584.0,0.53,1200,0.6,47330,0,2
6,Massachusetts Institute of Technology,3.92,0.577142857,4524,13328129.0,0.84,1507,0.08,49892,0,2
27,University of Minnesota-Twin Cities,3.73,0.885806705,34871,3289070.5,0.61,1285,0.44,14417,1,0
141,Trinity College,3.7,0.865758755,2259,543220.5,0.8,1325,0.34,54770,0,1
222,Endicott College,3.3,0.929824561,3290,65859.0,0.76,1160,0.79,32154,0,0
223,Arcadia University,3.6,0.9555226090000001,2473,64835.5,0.58,1104,0.63,42330,0,2
156,St. Olaf College,3.6,0.95361991,3040,447320.5,0.85,1282,0.45,46000,0,1
4,Stanford University,3.9,0.46272189399999997,7034,22310543.5,0.75,1479,0.05,49617,0,2
122,St. John's University,3.5,0.8783555470000001,16440,664659.0,0.37,1080,0.63,40790,0,0
32,University of Illinois--Urbana-Champaign,3.8,0.869190632,33932,2339732.0,0.7,1305,0.6,15868,1,1
164,Union College,3.4,0.937625755,2203,410756.0,0.81,970,0.37,53490,0,2
62,University of Missouri ,3.54,0.903946125,25898,1468475.0,0.44,1203,0.78,10716,1,0
128,Fordham University,3.59,0.88200313,9258,640201.5,0.74,1273,0.45,50601,0,2
208,Sacred Heart University,3.5,0.9619820590000001,5428,141168.5,0.54,1180,0.57,39820,0,2
173,University of the Pacific,3.5,0.912317328,3483,379057.5,0.5,1152,0.66,46346,0,2
70,University of Cincinnati,3.6,0.8732558140000001,25860,1180710.5,0.31,1165,0.76,11000,1,0
176,Spelman College,3.5,0.920197044,2125,354886.5,0.71,1015,0.53,28181,0,2
64,Bowdoin College,3.8,0.680781759,1806,1366370.5,0.89,1505,0.15,51848,0,2
44,University of California--Los Angeles,3.9,0.7218009479999999,30873,1834138.0,0.74,1339,0.18,13256,1,2
148,Whitman College,3.7,0.92879257,1493,496224.0,0.83,1314,0.51,49780,0,2
40,Pomona College,4.0,0.47292418799999997,1660,2041817.5,0.92,1435,0.09,51075,0,1
123,University of New Hampshire,3.5,0.967109867,12871,663806.5,0.67,1107,0.76,18067,1,2
23,Ohio State University--Columbus,3.8,0.866984222,45831,3606224.5,0.59,1295,0.54,10591,1,0
171,Occidental College,3.6,0.9185441940000001,2062,381923.5,0.76,1304,0.46,52838,0,2
167,University of New Mexico,3.3,0.5328014179999999,20215,398455.0,0.23,1040,0.47,7150,1,2
81,University of Utah,3.55,0.75,23789,1049846.5,0.29,1130,0.76,9166,1,0
39,Amherst College,4.0,0.5,1849,2112677.0,0.86,1451,0.14,54310,0,2
193,Barnard College,3.8,0.8761220829999999,2588,291639.5,0.83,1357,0.17,52662,0,2
47,Carnegie Mellon University,3.8,0.9484361790000001,6673,1724046.0,0.75,1448,0.22,53910,0,2
94,Yeshiva University,3.5,0.675084175,2714,847148.0,0.71,1229,0.51,42000,0,2
190,Wayne State University,3.4,0.8111676520000001,17280,303894.5,0.13,1070,0.68,13278,1,2
43,Georgia Institute of Technology,3.9,0.806637807,15489,1851370.5,0.41,1403,0.26,12418,1,2
145,Reed College,3.9,0.9289617490000001,1427,520856.0,0.86,1383,0.35,52150,0,0
207,CUNY--Baruch College,3.3,0.22654109600000003,15210,147900.0,0.38,1230,0.31,7551,1,2
3,Princeton University,3.9,0.267241379,5400,22438026.5,0.89,1490,0.07,47140,0,2
105,University of Arizona,3.42,0.804612821,34072,761295.5,0.42,1165,0.79,11644,1,0
53,George Washington University,3.8,0.93646978,11504,1593317.5,0.76,1294,0.4,53518,0,1
133,University of Denver--Colorado Seminary,3.7,0.8940355329999999,5754,620064.5,0.66,1249,0.53,48669,0,2
209,Canisius College,3.6,0.93122172,2595,109696.5,0.64,1078,0.78,36454,0,2
177,Wabash College,3.7,0.960212202,843,341020.0,0.64,1145,0.63,42250,0,2
220,Manhattan College,3.4,0.90513834,3637,77149.5,0.57,1097,0.71,40345,0,2
49,Grinnell College,4.0,0.890322581,1699,1718279.0,0.81,1402,0.2,50464,0,0
163,Hofstra University,3.6,0.929640719,6899,414802.0,0.53,1210,0.62,43960,0,2
80,Middlebury College,3.95,0.8479853479999999,2532,1050826.0,0.85,1383,0.16,52496,0,2
34,Williams College,3.86,0.653669725,2076,2325630.0,0.86,1442,0.18,53550,0,2
7,University of Pennsylvania,3.9,0.68252149,10019,10424466.5,0.85,1457,0.09,53534,0,2
110,University of Massachusetts--Boston,3.3,0.811498065,12847,752194.0,0.18,1055,0.69,13828,1,0
91,University of Miami,4.0,0.865499573,10849,865986.0,0.7,1319,0.38,48484,0,2
83,University of Georgia,3.86,0.8425741259999999,27951,1010859.5,0.63,1252,0.54,11818,1,2
205,Le Moyne College,3.5,0.95059151,2897,159158.5,0.58,1073,0.66,33905,0,2
221,Towson University,3.6,0.87145452,19198,68700.0,0.46,1081,0.74,99694,1,1
89,Washington State University,3.4,0.832986905,24904,896802.5,0.41,1039,0.72,11391,1,0
8,Northwestern University,4.0,0.781656805,8353,9920767.0,0.84,1460,0.11,52678,0,2
13,University of Chicago,4.0,0.6603773589999999,5941,7275457.0,0.89,1506,0.08,54825,0,2
59,University of Kansas,3.6,0.897549094,19262,1487780.0,0.41,1145,0.93,10824,1,0
198,St. Joseph's University,3.6,0.9694206009999999,5377,209043.0,0.72,1210,0.78,43880,0,0
131,Arizona State University--Tempe,3.6,0.82113393,42477,627889.0,0.49,1143,0.83,10792,1,2
17,Cornell University,3.86,0.8047253059999999,14566,5897634.0,0.87,1428,0.14,52853,0,2
166,Wheaton College,3.7,0.92972973,2456,398823.0,0.82,1314,0.68,35190,0,1
72,Baylor University,3.64,0.911802192,14348,1156261.0,0.58,1239,0.4,43790,0,1
218,Monmouth University,3.3,0.9462563159999999,6371,78549.0,0.55,1037,0.77,36733,0,1
134,University at Buffalo,3.6,0.860277886,20411,610128.5,0.58,1173,0.59,9770,1,2
225,Springfield College,3.2,0.9650655020000001,2110,61331.0,0.63,1042,0.66,36535,0,2
212,New York Institute of Technology,3.4,0.818360656,3575,103400.0,0.23,1074,0.73,35870,0,1
63,Southern Methodist University,3.7,0.8826291079999999,6521,1444638.5,0.68,1330,0.49,52498,0,1
54,Tufts University,4.0,0.749235474,5508,1577993.5,0.87,1424,0.14,54318,0,2
107,Denison University,3.6,0.946791862,2277,756640.5,0.79,1345,0.44,50440,0,0
50,Smith College,3.9,0.912258065,2514,1704616.0,0.86,1410,0.37,50044,0,1
204,Bryant University,3.5,0.96969697,3462,164350.5,0.73,1230,0.69,42109,0,0
174,Quinnipiac University,3.4,0.976190476,7099,377919.5,0.69,1095,0.76,46780,0,0
192,University of Alaska,3.3,0.663585003,7239,297936.5,0.15,1058,0.73,8144,1,2
189,University of Nevada--Reno,3.6,0.7670557290000001,18191,304642.5,0.23,1084,0.83,7599,1,2
228,Gannon University,3.6,0.925233645,3098,57358.5,0.47,1035,0.78,30932,0,1
203,University of Scranton,3.5,0.969278997,3867,167536.5,0.72,1134,0.75,43310,0,2
169,Earlham College,3.7,0.92238806,1031,394826.0,0.65,1315,0.58,45750,0,0
58,Georgetown University,3.89,0.8564213559999999,7453,1506185.5,0.9,1416,0.17,52300,0,2
48,Case Western Reserve University,3.71,0.935986159,5152,1719369.0,0.64,1398,0.35,47500,0,2
88,University of Arkansas,3.7,0.860137852,22548,923793.5,0.42,1154,0.63,9062,1,0
21,Vanderbilt University,3.8,0.563872256,6871,3977864.5,0.87,1498,0.11,47664,0,2
57,University of Nebraska,3.5,0.862807525,20833,1506580.5,0.36,1145,0.75,8690,1,0
160,University of Wyoming,3.5,0.818088033,9788,433777.5,0.27,1122,0.95,5217,1,1
224,Nazareth College,3.5,0.9691252140000001,2159,62356.0,0.58,1150,0.72,32424,0,0
187,Fairfield University,3.5,0.9564516129999999,4032,313656.5,0.78,1270,0.61,47165,0,0
191,Scripps College,4.0,0.912280702,1039,300516.0,0.8,1362,0.3,52966,0,2
129,Clemson University,4.0,0.9098075590000001,18599,634952.5,0.59,1275,0.51,14712,1,2
37,California Institute of Technology,3.93,0.48387096799999996,979,2152805.5,0.81,1544,0.08,49908,0,2
157,Mississippi State University,3.4,0.8546269120000001,18090,446795.5,0.32,1140,0.71,8138,1,1
217,Hood College,3.5,0.9368932040000001,1174,82285.5,0.5,1150,0.71,37960,0,2
1,University of Texas--Austin,3.75,0.80692959,40168,29041575.0,0.55,1297,0.4,10136,1,0
52,Virginia Commonwealth University,3.6,0.9186428740000001,24212,1599010.5,0.36,1097,0.75,13570,1,0
149,Ohio University,3.5,0.8763555940000001,23788,494383.0,0.46,1108,0.75,11896,1,1
130,DePauw University,3.8,0.935042735,2225,629177.5,0.78,1208,0.78,47838,0,0
151,Haverford College,4.0,0.655172414,1268,483394.0,0.86,1433,0.21,52754,0,2
103,Iowa State University,3.6,0.916984925,30671,773333.0,0.44,1142,0.87,8420,1,1
99,Oberlin College,3.6,0.946202532,2895,801326.5,0.72,1357,0.28,53460,0,1
116,Northeastern University,4.0,0.9192917909999999,13473,711212.5,0.82,1435,0.29,49497,0,2
87,Vassar College,3.8,0.719054242,2424,955893.0,0.87,1405,0.27,55210,0,2
202,Gallaudet University,3.2,0.660674157,1121,177013.0,0.2,883,0.66,16558,0,1
74,Texas Tech University,3.5,0.8610229979999999,29963,1152364.5,0.34,1134,0.63,10771,1,0
214,Niagara University,3.4,0.964731815,3136,91240.0,0.6,1037,0.83,31950,0,2
210,Alfred University,3.3,0.96895075,1815,106906.0,0.43,1057,0.63,32264,0,2
121,Davidson College,3.9,0.72299169,1796,672213.0,0.9,1355,0.2,49949,0,2
231,Salve Regina University,3.3,0.976766699,2124,55478.5,0.64,1180,0.68,38986,0,2
20,Dartmouth College,3.89,0.8057553959999999,4310,4568947.5,0.88,1437,0.11,52950,0,2
188,University of San Francisco,3.4,0.922339406,6745,307343.5,0.62,1172,0.71,46250,0,2
71,Syracuse University,3.7,0.9435806309999999,15218,1161468.5,0.69,1195,0.52,46755,0,2
106,Carleton College,4.0,0.875338753,2105,760796.0,0.88,1400,0.23,52782,0,2
14,Duke University,3.91,0.88019802,6609,7068162.5,0.86,1450,0.11,53744,0,2
92,Oklahoma State University,3.5,0.8041967959999999,21093,862276.5,0.39,1118,0.75,8738,1,0
179,Skidmore College,3.68,0.925233645,2680,335776.0,0.85,1239,0.29,52446,0,2
102,University of Louisville,3.5,0.809320527,15827,779988.5,0.28,1159,0.73,11264,1,0
